,title,author,underwood_id,gut_id,gut_title,gut_author,score,downloads,,,,,
0,Framley Parsonage,"Trollope, Anthony",TrolAFP,2860,Framley Parsonage,"Trollope, Anthony",100,123,,,,,
1,Evan Harrington,"Meredith, George",MereGEH,4434,Evan Harrington ? Complete,"Meredith, George",73,10,,,,,
2,Lovel the widower,"Thackeray, William Makepeace",ThacWLW,,The Rose and the Ring,"Thackeray, William Makepeace",42,127,,,,Correct,2860
3,Silas Marner,"Eliot, George",ElioGSM,550,Silas Marner,"Eliot, George",100,1137,,,,Correct,4434
4,Cloister and hearth,"Reade, Charles",ReadCCH,1366,The Cloister and the Hearth,"Reade, Charles",83,87,,,,Correct,
5,Great expectations,"Dickens, Charles",DickCGE,1400,Great Expectations,"Dickens, Charles",100,9909,,,,Correct,550
6,East Lynne,"Wood, Henry, Mrs.",WoodHEL,3322,East Lynne,"Wood, Henry, Mrs.",100,109,,,,Correct,1366
7,Adventures of Philip,"Thackeray, William Makepeace",ThacWAP,,The Tremendous Adventures of Major Gahagan,"Thackeray, William Makepeace",52,10,,,,Correct,1400
8,Lady Audley's secret,"Braddon, M. E.",BradMLA,8954,Lady Audley's Secret,"Braddon, M. E. (Mary Elizabeth)",100,488,,,,Correct,3322
9,Seven sons of Mammon,"Sala, George Augustus",SalaGSS,,An Account of Timbuctoo and Housa Territories in the Interior of Africa,"Shabeeny, Abd Salam, active 1820",47,48,,,,Correct,
10,No name,"Collins, Wilkie",CollWNN,1438,No Name,"Collins, Wilkie",100,218,,,,Correct,8954
11,Water-babies,"Kingsley, Charles",KingCW,1018,The Water-Babies,"Kingsley, Charles",86,174,,,,Correct,
12,Sylvia's lovers,"Gaskell, Elizabeth Cleghorn",GaskESL,4537,Sylvia's Lovers ? Complete,"Gaskell, Elizabeth Cleghorn",73,105,,,,Correct,1438
13,Hard cash,"Reade, Charles",ReadCHC,3067,Hard Cash,"Reade, Charles",100,42,,,,Correct,1018
14,Romola,"Eliot, George",ElioGR,24020,Romola,"Eliot, George",100,192,,,,Correct,4537
15,Salem Chapel,"Oliphant, Mrs. (Margaret)",OlipMSC,42013,"Salem Chapel, v. 1/2","Oliphant, Mrs. (Margaret)",75,17,,,,Correct,3067
16,Uncle Silas,"Le Fanu, Joseph Sheridan",LefaJUS,14851,Uncle Silas: A Tale of Bartram-Haugh,"Le Fanu, Joseph Sheridan",67,128,,,,Correct,24020
17,Can you forgive her?,"Trollope, Anthony",TrolACY,19500,Can You Forgive Her?,"Trollope, Anthony",100,198,,,,Incorrect,42013
18,Chronicles of the Schonberg-Cotta family,"Charles, Elizabeth Rundle",CharECS,36433,Chronicles of the Schonberg-Cotta Family,"Charles, Elizabeth Rundle",100,10,,,,Correct,14851
19,Denis Duval,"Thackeray, William Makepeace",ThacWDD,,Men's Wives,"Thackeray, William Makepeace",45,29,,,,Correct,19500
20,Small house at Allington,"Trollope, Anthony",TrolASH,4599,The Small House at Allington,"Trollope, Anthony",92,137,,,,Correct,36433
21,Our mutual friend,"Dickens, Charles",DickCOM,883,Our Mutual Friend,"Dickens, Charles",100,1049,,,,Correct,
22,Luttrell Of Arran,"Lever, Charles James",LeveCLA,35717,Luttrell Of Arran,"Lever, Charles James",100,3,,,,Correct,4599
23,Alice's adventures in Wonderland,"Carroll, Lewis",CarrLAA,11,Alice's Adventures in Wonderland,"Carroll, Lewis",100,17114,,,,Correct,883
24,Felix Holt,"Eliot, George",ElioGFH,40882,"Felix Holt, the Radical","Eliot, George",61,114,,,,,
25,Armadale,"Collins, Wilkie",CollWA,1895,Armadale,"Collins, Wilkie",100,117,,,,,
26,Hereward the wake,"Kingsley, Charles",KingCHW,7815,"Hereward, the Last of the English","Kingsley, Charles",71,37,,,,,
27,Wives and daughters,"Gaskell, Elizabeth Cleghorn",GaskEWD,4274,Wives and Daughters,"Gaskell, Elizabeth Cleghorn",100,383,,,,,
28,Last chronicle of Barset,"Trollope, Anthony",TrolALC,3045,The Last Chronicle of Barset,"Trollope, Anthony",92,110,,,,,
29,Under two flags,Ouida,OuidUT,3465,Under Two Flags,Ouida,100,35,,,,,
30,The moonstone,"Collins, Wilkie",CollWM,155,The Moonstone,"Collins, Wilkie",100,1626,,,,,
31,Lorna Doone,"Blackmore, R. D.",BlacRLD,17460,Lorna Doone: A Romance of Exmoor,"Blackmore, R. D. (Richard Doddridge)",61,184,,,,,
32,Phineas Finn,"Trollope, Anthony",TrolAPF,,Phineas Redux,"Trollope, Anthony",64,74,,,,,
33,"Vikram and the vampire; or, Tales of Hindu devilry","Burton, Richard Francis, Sir",BurtRVV,48511,Vikram and the Vampire: or Tales of Hindu Devilry,"Burton, Richard Francis, Sir",94,37,,,,,
34,An old-fashioned girl,"Alcott, Louisa May",AlcoLOG,2787,An Old-Fashioned Girl,"Alcott, Louisa May",100,407,,,,,
35,The mystery of Edwin Drood,"Dickens, Charles",DickCME,564,The Mystery of Edwin Drood,"Dickens, Charles",100,416,,,,,
36,Lothair,"Disraeli, Benjamin",DisrBL,7835,Lothair,"Disraeli, Benjamin, Earl of Beaconsfield",100,24,,,,,
37,Man and wife,"Collins, Wilkie",CollWMW,1586,Man and Wife,"Collins, Wilkie",100,57,,,,,
38,At the back of the north wind,"MacDonald, George",MacDGAB,225,At the Back of the North Wind,"MacDonald, George",100,266,,,,,
39,Coming race,"Lytton, Edward Bulwer Lytton",LyttECR,1951,The Coming Race,"Lytton, Edward Bulwer Lytton, Baron",85,323,,,,,
40,A daughter of Heth,"Black, William",BlacWDH,,"A Treatise on Sheep:: The Best Means for their Improvement, General Management, and the Treatment of their Diseases.","Blacklock, Ambrose",56,22,,,,,
41,Under the greenwood tree,"Hardy, Thomas",HardTUG,9437,Under the Greenwood Tree,"Hardy, Thomas",100,2,,,,,
42,True history of Joshua Davidson,"Linton, E. Lynn",LintETH,,The Mirrors of Washington,"Gilbert, Clinton W. (Clinton Wallace)",54,23,,,,,
43,Princess and  goblin,"MacDonald, George",MacDGPG,708,The Princess and the Goblin,"MacDonald, George",85,496,,,,,
44,Through the looking-glass,"Carroll, Lewis",CarrLTL,12,Through the Looking-Glass,"Carroll, Lewis",100,2985,,,,,
45,Erewhon,"Butler, Samuel",ButlSE,1906,"Erewhon; Or, Over the Range","Butler, Samuel",41,333,,,,,
46,The Eustace diamonds,"Trollope, Anthony",TrolAED,7381,The Eustace Diamonds,"Trollope, Anthony",100,106,,,,,
47,A pair of blue eyes,"Hardy, Thomas",HardTPB,224,A Pair of Blue Eyes,"Hardy, Thomas",100,195,,,,,
48,Middlemarch,"Eliot, George",ElioGM,145,Middlemarch,"Eliot, George",100,2311,,,,,
49,Far from the madding crowd,"Hardy, Thomas",HardTFF,27,Far from the Madding Crowd,"Hardy, Thomas",100,506,,,,,
50,Phineas Redux,"Trollope, Anthony",TrolAPR,18640,Phineas Redux,"Trollope, Anthony",100,74,,,,,
51,The way we live now,"Trollope, Anthony",TrolAWW,5231,The Way We Live Now,"Trollope, Anthony",100,305,,,,,
52,Daniel Deronda,"Eliot, George",ElioGDD,7469,Daniel Deronda,"Eliot, George",100,457,,,,,
53,Prime Minister,"Trollope, Anthony",TrolAPM,2158,The Prime Minister,"Trollope, Anthony",88,58,,,,,
54,Beauchamp's career,"Meredith, George",MereGBC,4460,Beauchamp's Career ? Complete,"Meredith, George",77,19,,,,,
55,Black beauty,"Sewell, Anna",SeweABB,271,Black Beauty,"Sewell, Anna",100,606,,,,,
56,The wreck of the Grosvenor,"Russell, William Clark",RussWWG,44497; 44498; 44499,"The Wreck of the Grosvenor, Volume 1 of 3: An account of the mutiny of the crew and the loss of the ship when trying to make the Bermudas","Russell, William Clark",98,16,,,,,
57,Return of native,"Hardy, Thomas",HardTRN,122,The Return of the Native,"Hardy, Thomas",80,957,,,,,
58,By proxy,"Payn, James",PaynJBP,,The History of Chivalry,"James, G. P. R. (George Payne Rainsford)",26,16,,,,,
59,Egoist,"Meredith, George",MereGE,1684,The Egoist: A Comedy in Narrative,"Meredith, George",41,70,,,,,
60,Impressions of Theophrastus Such,"Eliot, George",ElioGIT,10762,Impressions of Theophrastus Such,"Eliot, George",100,43,,,,,
61,Endymion (Vol. 3/3),"Disraeli, Benjamin, Earl of Beaconsfield",DisrBE3,,Endymion,"Disraeli, Benjamin, Earl of Beaconsfield",59,29,,,,,
62,Endymion (Vol. 2/3),"Disraeli, Benjamin, Earl of Beaconsfield",DisrBE2,,Endymion,"Disraeli, Benjamin, Earl of Beaconsfield",59,29,,,,,
63,A Tramp Abroad,"Twain, Mark",TwaiMTA,119,A Tramp Abroad,"Twain, Mark",100,682,,,,,
64,The undiscovered country,"Howells, William Dean",HoweWUC,,Their Silver Wedding Journey ? Complete,"Howells, William Dean",56,6,,,,,
65,Endymion (Vol. 1/3),"Disraeli, Benjamin, Earl of Beaconsfield",DisrBE,7926,Endymion,"Disraeli, Benjamin, Earl of Beaconsfield",59,29,,,,,
66,Duke's children,"Trollope, Anthony",TrolADC,3622,The Duke's Children,"Trollope, Anthony",88,58,,,,,
67,Trumpet-major,"Hardy, Thomas",HardTT,2864,The Trumpet-Major,"Hardy, Thomas",87,52,,,,,
68,Country By-Ways,"Jewett, Sarah Orne",JeweSCB,,A Country Doctor and Selected Stories and Sketches,"Jewett, Sarah Orne",45,49,,,,,
69,Autobiography of Mark Rutherford,"White, William Hale",WhitWAM,3269,"The Autobiography of Mark Rutherford, Edited by his friend Reuben Shapcott","White, William Hale",93,11,,,,,
70,Bevis,"Jefferies, Richard",JeffRB,35930,Bevis: The Story of a Boy,"Jefferies, Richard",38,22,,,,,
71,Story of an African farm,"Schreiner, Olive",SchrOSA,1441,The Story of an African Farm,"Schreiner, Olive",81,199,,,,,
72,Treasure Island,"Stevenson, Robert Louis",StevRTI,120,Treasure Island,"Stevenson, Robert Louis",100,5837,,,,,
73,Belinda,"Broughton, Rhoda",BrouRB,,Red as a Rose is She: A Novel,"Broughton, Rhoda",26,19,,,,,
74,Jackanapes,"Ewing, Juliana Horatia Gatty",EwinJJ,20351,Jackanapes,"Ewing, Juliana Horatia Gatty",100,10,,,,,
75,Dorothy Forster,"Besant, Walter, Sir",BesaWDF,,Death?and After?,"Besant, Annie",52,22,,,,,
76,A country doctor,"Jewett, Sarah Orne",JeweSCD,15294,A Country Doctor and Selected Stories and Sketches,"Jewett, Sarah Orne",71,49,,,,,
77,The rise of Silas Lapham,"Howells, William Dean",HoweWRS,154,The Rise of Silas Lapham,"Howells, William Dean",100,214,,,,,
78,After London,"Jefferies, Richard",JeffRAL,,Nature Near London,"Jefferies, Richard",73,20,,,,,
79,The prophet of the Great Smoky Mountains,"Murfree, Mary Noailles",MurfMPG,35619,The Prophet of the Great Smoky Mountains,"Murfree, Mary Noailles",100,17,,,,,
80,Diana of the crossways,"Meredith, George",MereGDC,4470,Diana of the Crossways ? Complete,"Meredith, George",96,51,,,,,
81,"Marius, the Epicurean : his sensations and ideas (Vol. 1/2)","Pater, Walter",PateWME,4057; 4058,Marius the Epicurean ? Volume 1,"Pater, Walter",79,60,,,,,
82,King Solomon's mines,"Haggard, H. Rider",HaggHKS,2166,King Solomon's Mines,"Haggard, H. Rider (Henry Rider)",100,968,,,,,
83,"Marius, the Epicurean : his sensations and ideas (Vol. 2/2)","Pater, Walter",PateWME2,,Marius the Epicurean ? Volume 1,"Pater, Walter",79,60,,,,,
84,"Marius, the Epicurean : his sensations and ideas (Vol. 2/2)","Pater, Walter",PateWME3,,Marius the Epicurean ? Volume 1,"Pater, Walter",79,60,,,,,
85,Little Lord Fauntleroy,"Burnett, Frances Hodgson",BurnFLL,479,Little Lord Fauntleroy,"Burnett, Frances Hodgson",100,334,,,,,
86,Strange case of Dr Jekyll and Mr Hyde,"Stevenson, Robert Louis",StevRSC,26247,The Strange Case of Dr Jekyll & Mr Hyde,"Stevenson, Robert Louis",77,36,,,,,
87,Kidnapped,"Stevenson, Robert Louis",StevRK,421,Kidnapped,"Stevenson, Robert Louis",100,1386,,,,,
88,The Bostonians,"James, Henry",JameHB,19717;19718,"The Bostonians, Vol. I (of II)","James, Henry",70,80,,,,,
89,A tale of a lonely parish,"Crawford, Francis Marion",CrawFTL,13597,A Tale of a Lonely Parish,"Crawford, F. Marion (Francis Marion)",100,13,,,,,
90,Mayor of Casterbridge,"Hardy, Thomas",HardTMC,143,The Mayor of Casterbridge,"Hardy, Thomas",91,688,,,,,
91,She,"Haggard, H. Rider",HaggHS,3155,She,"Haggard, H. Rider (Henry Rider)",100,913,,,,,
92,Imaginary portraits,"Pater, Walter",PateWIP,4038,Imaginary Portraits,"Pater, Walter",100,30,,,,,
93,Woodlanders,"Hardy, Thomas",HardTW,482,The Woodlanders,"Hardy, Thomas",85,174,,,,,
94,The new Antigone,"Barry, William Francis",BarrWNA,,The Corset and the Crinoline: A Book of Modes and Costumes from Remote Periods to the Present Time,"Lord, William Barry",58,24,,,,,
95,The Aspern papers ; Louisa Pallant ; The modern warning,"James, Henry",JameHAP,,The Aspern Papers,"James, Henry",79,331,,,,,
96,Robert Elsmere,"Ward, Humphry, Mrs.",WardHRE,8737,Robert Elsmere,"Ward, Humphry, Mrs.",100,19,,,,,
97,Master of Ballantrae,"Stevenson, Robert Louis",StevRMB,864,The Master of Ballantrae: A Winter's Tale,"Stevenson, Robert Louis",85,141,,,,,
98,Nether world,"Gissing, George",GissGNW,4301,The Nether World,"Gissing, George",86,60,,,,,
99,The sign of four,"Doyle, Arthur Conan",DoylASF,2097,The Sign of the Four,"Doyle, Arthur Conan",89,3184,,,,,
100,One of our conquerors,"Meredith, George",MereGOO,4476,One of Our Conquerors ? Complete,"Meredith, George",95,13,,,,,
101,New Grub Street,"Gissing, George",GissGNG,1709,New Grub Street,"Gissing, George",100,313,,,,,
102,News from nowhere,"Morris, William",MorrWNF,3261,"News from Nowhere; Or, An Epoch of Rest: Being Some Chapters from a Utopian Romance","Morris, William",81,153,,,,,
103,Picture of Dorian Gray,"Wilde, Oscar",WildOPD,174,The Picture of Dorian Gray,"Wilde, Oscar",92,9652,,,,,
104,Life's handicap; being stories of mine own people,"Kipling, Rudyard",KiplRLH,5777,Life's Handicap: Being Stories of Mine Own People,"Kipling, Rudyard",97,147,,,,,
105,Tess of the D'Urbervilles,"Hardy, Thomas",HardTTD,110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",94,1699,,,,,
106,Diary of a nobody,"Grossmith, George",GrosGDN,1026,The Diary of a Nobody,"Grossmith, George",89,480,,,,,
107,Pursuit of well-beloved,"Hardy, Thomas",HardTPW,,The Well-Beloved,"Hardy, Thomas",72,2,,,,,
108,In the roar of the sea,"Baring-Gould, Sabine",BariSIR,40631,In the Roar of the Sea,"Baring-Gould, S. (Sabine)",100,24,,,,,
109,The history of David Grieve (Vol. 1/3),"Ward, Humphry, Mrs.",WardHHD,8076,The History of David Grieve,"Ward, Humphry, Mrs.",100,12,,,,,
110,The history of David Grieve (Vol. 2/3),"Ward, Humphry, Mrs.",WardHHD2,,The History of David Grieve,"Ward, Humphry, Mrs.",100,12,,,,,
111,The adventures of Sherlock Holmes,"Doyle, Arthur Conan, Sir",DoylAAS,1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",100,10959,,,,,
112,The history of David Grieve (Vol. 3/3),"Ward, Humphry, Mrs.",WardHHD3,,The History of David Grieve,"Ward, Humphry, Mrs.",100,12,,,,,
113,"The prince of India, or, Why Constantinople fell (Vol. 1/2)","Wallace, Lew",WallLPI,6848;6849,"The Prince of India; Or, Why Constantinople Fell ? Volume 01","Wallace, Lew",96,35,,,,,
114,Island nights' entertainments,"Stevenson, Robert Louis",StevRIN,329,Island Nights' Entertainments,"Stevenson, Robert Louis",100,88,,,,,
115,"The world of chance, a novel","Howells, William Dean",HoweWWC,,The Story of a Play: A Novel,"Howells, William Dean",62,10,,,,,
116,"The prince of India, or, Why Constantinople fell (Vol. 2/2)","Wallace, Lew",WallLPI2,,"The Prince of India; Or, Why Constantinople Fell ? Volume 01","Wallace, Lew",96,35,,,,,
117,Odd women,"Gissing, George",GissGOW,4313,The Odd Women,"Gissing, George",82,129,,,,,
118,Through the Sikh war; a tale of the conquest of the Punjaub,"Henty, George Alfred",HentGTS,53717,Through the Sikh War: A Tale of the Conquest of the Punjaub,"Henty, G. A. (George Alfred)",96,79,,,,,
119,Real Charlotte,"Ross, Martin",RossMRC,,Aubrey Beardsley,"Ross, Robert Baldwin",47,46,,,,,
120,Trilby (Vol. 1/3),"Du Maurier, George",DumaGT,39858,Trilby,"Du Maurier, George",52,129,,,,,
121,Esther Waters,"Moore, George",MoorGEW,8157,Esther Waters,"Moore, George Augustus",100,54,,,,,
122,Trilby (Vol. 3/3),"Du Maurier, George",DumaGT3,,Trilby,"Du Maurier, George",52,129,,,,,
123,Trilby (Vol. 2/3),"Du Maurier, George",DumaGT2,,"Yachting, Vol. 2","Dufferin and Ava, Frederick Temple Blackwood, Marquis of",55,49,,,,,
124,Time machine,"Wells, H. G.",WellHTM,35,The Time Machine,"Wells, H. G. (Herbert George)",86,4332,,,,,
125,Story of Bessie Costrell,"Ward, Humphry, Mrs.",WardHSB,12181,The Story of Bessie Costrell,"Ward, Humphry, Mrs.",92,5,,,,,
126,The woman who did,"Allen, Grant",AlleGWW,4396,The Woman Who Did,"Allen, Grant",100,37,,,,,
127,Weir of Hermiston,"Stevenson, Robert Louis",StevRWH,380,Weir of Hermiston: An Unfinished Romance,"Stevenson, Robert Louis",69,42,,,,,
128,Jude the obscure,"Hardy, Thomas",HardTJO,153,Jude the Obscure,"Hardy, Thomas",100,843,,,,,
129,Well-beloved,"Hardy, Thomas",HardTW2,9438,The Well-Beloved,"Hardy, Thomas",86,2,,,,,
130,Whirlpool,"Gissing, George",GissGW,4299,The Whirlpool,"Gissing, George",82,25,,,,,
131,The king with two faces,"Coleridge, Mary E.",ColeMKW,,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",52,666,,,,,
132,Dracula,"Stoker, Bram",StokBD,345,Dracula,"Stoker, Bram",100,9399,,,,,
133,Dreamers of the Ghetto,"Zangwill, Israel",ZangIDG,29875,Dreamers of the Ghetto,"Zangwill, Israel",100,39,,,,,
134,Richard Carvel,"Churchill, Winston",ChurWRC,5373,Richard Carvel ? Complete,"Churchill, Winston",72,24,,,,,
135,The house with the green shutters,"Brown, George Douglas",BrowGHW,25876,The House with the Green Shutters,"Brown, George Douglas",100,19,,,,,
136,The way of all flesh,"Butler, Samuel",ButlSWA,2084,The Way of All Flesh,"Butler, Samuel",100,159,,,,,
137,The Virginian,"Wister, Owen",WistV,1298,The Virginian: A Horseman of the Plains,"Wister, Owen",63,456,,,,,
,"James, Henry",The Aspern Papers,JameAP,211,,,,,,,,,